"","Taxa","Locality","Count","Rank","Unit","abndance","taxa"
"242",".Rhinocerotidae","P30.U1",0,2,"U1",0.166666666666667,"Rhin"
"243",".Hippopotamidae","P30.U1",0,3,"U1",0.25,"Hipp"
"244",".Giraffidae","P30.U1",0,4,"U1",0.333333333333333,"Gira"
"245",".Primate","P30.U1",1,5,"U1",0.416666666666667,"Prim"
"246",".Sirenia","P30.U1",1,6,"U1",0.5,"Sire"
"247",".Equidae","P30.U1",1,7,"U1",0.583333333333333,"Equi"
"248",".Suidae","P30.U1",1,8,"U1",0.666666666666667,"Suid"
"249",".Carnivors","P30.U1",2,9,"U1",0.75,"Carn"
"250",".Proboscidea","P30.U1",3,10,"U1",0.833333333333333,"Prob"
"251",".Anthracotheriidae","P30.U1",4,11,"U1",0.916666666666667,"Anth"
"252",".Bovidae","P30.U1",15,12,"U1",1,"Bovi"
"253",".Primate","P31.U1",0,1,"U1",0.0833333333333333,"Prim"
"254",".Cetacea","P31.U1",0,2,"U1",0.166666666666667,"Ceta"
"255",".Sirenia","P31.U1",0,3,"U1",0.25,"Sire"
"256",".Proboscidea","P31.U1",0,4,"U1",0.333333333333333,"Prob"
"257",".Rhinocerotidae","P31.U1",0,5,"U1",0.416666666666667,"Rhin"
"258",".Suidae","P31.U1",0,6,"U1",0.5,"Suid"
"259",".Hippopotamidae","P31.U1",0,7,"U1",0.583333333333333,"Hipp"
"260",".Giraffidae","P31.U1",0,8,"U1",0.666666666666667,"Gira"
"261",".Carnivors","P31.U1",1,9,"U1",0.75,"Carn"
"262",".Equidae","P31.U1",2,10,"U1",0.833333333333333,"Equi"
"263",".Anthracotheriidae","P31.U1",2,11,"U1",0.916666666666667,"Anth"
"264",".Bovidae","P31.U1",11,12,"U1",1,"Bovi"
"265",".Primate","P32.U1",0,1,"U1",0.0833333333333333,"Prim"
"266",".Sirenia","P32.U1",0,2,"U1",0.166666666666667,"Sire"
"267",".Equidae","P32.U1",0,3,"U1",0.25,"Equi"
"268",".Cetacea","P32.U1",1,4,"U1",0.333333333333333,"Ceta"
"269",".Carnivors","P32.U1",1,5,"U1",0.416666666666667,"Carn"
"270",".Proboscidea","P32.U1",1,6,"U1",0.5,"Prob"
"271",".Rhinocerotidae","P32.U1",1,7,"U1",0.583333333333333,"Rhin"
"272",".Suidae","P32.U1",1,8,"U1",0.666666666666667,"Suid"
"273",".Anthracotheriidae","P32.U1",7,9,"U1",0.75,"Anth"
"274",".Hippopotamidae","P32.U1",12,10,"U1",0.833333333333333,"Hipp"
"275",".Bovidae","P32.U1",12,11,"U1",0.916666666666667,"Bovi"
"276",".Giraffidae","P32.U1",63,12,"U1",1,"Gira"
"277",".Cetacea","P33.U1",0,1,"U1",0.0833333333333333,"Ceta"
"278",".Sirenia","P33.U1",0,2,"U1",0.166666666666667,"Sire"
"279",".Carnivors","P33.U1",1,3,"U1",0.25,"Carn"
"280",".Primate","P33.U1",2,4,"U1",0.333333333333333,"Prim"
"281",".Rhinocerotidae","P33.U1",2,5,"U1",0.416666666666667,"Rhin"
"282",".Hippopotamidae","P33.U1",4,6,"U1",0.5,"Hipp"
"283",".Giraffidae","P33.U1",4,7,"U1",0.583333333333333,"Gira"
"284",".Suidae","P33.U1",6,8,"U1",0.666666666666667,"Suid"
"285",".Proboscidea","P33.U1",9,9,"U1",0.75,"Prob"
"286",".Equidae","P33.U1",9,10,"U1",0.833333333333333,"Equi"
"287",".Anthracotheriidae","P33.U1",15,11,"U1",0.916666666666667,"Anth"
"288",".Bovidae","P33.U1",28,12,"U1",1,"Bovi"
"289",".Primate","P33.U2",0,1,"U2",0.0833333333333333,"Prim"
"290",".Cetacea","P33.U2",0,2,"U2",0.166666666666667,"Ceta"
"291",".Sirenia","P33.U2",0,3,"U2",0.25,"Sire"
"292",".Rhinocerotidae","P33.U2",0,4,"U2",0.333333333333333,"Rhin"
"293",".Suidae","P33.U2",0,5,"U2",0.416666666666667,"Suid"
"294",".Hippopotamidae","P33.U2",0,6,"U2",0.5,"Hipp"
"295",".Giraffidae","P33.U2",1,7,"U2",0.583333333333333,"Gira"
"296",".Bovidae","P33.U2",1,8,"U2",0.666666666666667,"Bovi"
"297",".Proboscidea","P33.U2",2,9,"U2",0.75,"Prob"
"298",".Equidae","P33.U2",2,10,"U2",0.833333333333333,"Equi"
"299",".Anthracotheriidae","P33.U2",2,11,"U2",0.916666666666667,"Anth"
"300",".Carnivors","P33.U2",3,12,"U2",1,"Carn"
"301",".Cetacea","P34.U1",1,1,"U1",0.0833333333333333,"Ceta"
"302",".Primate","P34.U1",2,2,"U1",0.166666666666667,"Prim"
"303",".Rhinocerotidae","P34.U1",2,3,"U1",0.25,"Rhin"
"304",".Giraffidae","P34.U1",11,4,"U1",0.333333333333333,"Gira"
"305",".Suidae","P34.U1",15,5,"U1",0.416666666666667,"Suid"
"306",".Hippopotamidae","P34.U1",20,6,"U1",0.5,"Hipp"
"307",".Equidae","P34.U1",26,7,"U1",0.583333333333333,"Equi"
"308",".Proboscidea","P34.U1",27,8,"U1",0.666666666666667,"Prob"
"309",".Carnivors","P34.U1",28,9,"U1",0.75,"Carn"
"310",".Sirenia","P34.U1",54,10,"U1",0.833333333333333,"Sire"
"311",".Anthracotheriidae","P34.U1",65,11,"U1",0.916666666666667,"Anth"
"312",".Bovidae","P34.U1",156,12,"U1",1,"Bovi"
"313",".Primate","P36.U1",0,1,"U1",0.0833333333333333,"Prim"
"314",".Cetacea","P36.U1",0,2,"U1",0.166666666666667,"Ceta"
"315",".Rhinocerotidae","P36.U1",0,3,"U1",0.25,"Rhin"
"316",".Giraffidae","P36.U1",0,4,"U1",0.333333333333333,"Gira"
"317",".Sirenia","P36.U1",1,5,"U1",0.416666666666667,"Sire"
"318",".Proboscidea","P36.U1",2,6,"U1",0.5,"Prob"
"319",".Hippopotamidae","P36.U1",2,7,"U1",0.583333333333333,"Hipp"
"320",".Equidae","P36.U1",3,8,"U1",0.666666666666667,"Equi"
"321",".Suidae","P36.U1",3,9,"U1",0.75,"Suid"
"322",".Carnivors","P36.U1",4,10,"U1",0.833333333333333,"Carn"
"323",".Anthracotheriidae","P36.U1",9,11,"U1",0.916666666666667,"Anth"
